,Name,Author,Image URL,Cooking Time
22,Braised Goat Leg in Obe Ata,Yewande Komolafe,https://static01.nyt.com/images/2019/06/26/dining/24Nigerianrex4/merlin_156696663_fe8c024d-6871-46b0-b732-333ee978a62e-mediumThreeByTwo252.jpg,5 to 6 hours
23,Beef Suya,Yewande Komolafe,https://static01.nyt.com/images/2019/06/26/dining/24Nigerianrex3/merlin_156460098_adba29d1-120c-498c-b605-3d26da31afda-mediumThreeByTwo252.jpg,"30 minutes, plus marinating"
24,Jollof Rice,Yewande Komolafe,https://static01.nyt.com/images/2019/06/26/dining/24Nigerianrex1/merlin_156459840_f874ce2c-2a73-4c58-b4e4-15cf91169bbb-mediumThreeByTwo252.jpg,1 1/2 hours
25,Puff Puff,Yewande Komolafe,https://static01.nyt.com/images/2019/06/26/dining/24Nigerianrex11/merlin_156460035_2fc9b7f7-a6a5-4ead-8ff7-177d150e5ebc-mediumThreeByTwo252.jpg,"30 minutes, plus rising"
26,Agege Bread,Yewande Komolafe,https://static01.nyt.com/images/2019/06/26/dining/24Nigerianrex9/merlin_156460023_a8fc5107-39cf-41c5-99f1-001727ca100a-mediumThreeByTwo252.jpg,"1 1/2 hours, plus rising and cooling"
27,Crispy Yam Fries,Yewande Komolafe,https://static01.nyt.com/images/2019/06/26/dining/24Nigerianrex8/24Nigerianrex8-mediumThreeByTwo252.jpg,40 minutes
28,Frejon (Beans in Coconut Milk),Yewande Komolafe,https://static01.nyt.com/images/2019/06/26/dining/24Nigerianrex7/merlin_156460119_aad69999-093c-4b01-ac8f-72da4602aac1-mediumThreeByTwo252.jpg,"2 hours, plus soaking"
29,Double Apple Pie,Melissa Clark,https://static01.nyt.com/images/2015/10/29/dining/29COOKING-APPLEPIE2/29COOKING-APPLEPIE2-mediumThreeByTwo252.jpg,"2 1/2 hours, plus at least 3 1/2 hours’ chilling and cooling"
30,Twice-Baked Sour Cherry Pie,Melissa Clark,https://static01.nyt.com/images/2014/06/17/dining/cherrypie-still/cherrypie-still-videoSixteenByNine310.jpg,1 hour 45 minutes
31,Nectarine Tart,Florence Fabricant,https://static01.nyt.com/images/2012/08/22/dining/22PIE/22PIE-videoSixteenByNine310.jpg,1 hour 30 minutes
32,Raspberry Hazelnut Tart,Martha Rose Shulman,https://static01.nyt.com/images/2013/06/19/dining/19PASTRY2/19PASTRY2-videoSixteenByNine310-v2.jpg,"1 hour 15 minutes, plus 24 to 48 hours’ chilling"
33,Pan Pizza,Sam Sifton,https://static01.nyt.com/images/2018/06/03/magazine/03Eat1/03Eat1-mediumThreeByTwo252-v2.jpg,"1 hour 30 minutes, plus 15-20 hours’ resting time for the dough"
34,Four-Spice Salmon,Mark Bittman,https://static01.nyt.com/images/2017/12/13/dining/13COOKING-4SPICE-SALMON1/13COOKING-4SPICE-SALMON1-mediumThreeByTwo252.jpg,20 minutes
35,Almost Aunt Sandy’s Sweet and Sour Salmon,Melissa Clark,https://static01.nyt.com/images/2014/06/06/dining/Sweet-and-Sour-Salmon/Sweet-and-Sour-Salmon-videoSixteenByNine310.jpg,About 40 minutes
36,"Salmon With Thyme, Lemon Butter and Almonds",Nigella Lawson,https://static01.nyt.com/images/2014/04/10/dining/salmonthyme/salmonthyme-videoSixteenByNine310.jpg,40 minutes
37,"Pan-Seared Salmon With Celery, Olives and Capers",Yotam Ottolenghi,https://static01.nyt.com/images/2018/02/21/dining/21ottorex2-sub2/merlin_134069309_38e6430a-a61e-49a9-b17d-73babca937bf-mediumThreeByTwo252.jpg,45 minutes
38,"Noodle Bowl With Mushrooms, Spinach and Salmon",Martha Rose Shulman,https://static01.nyt.com/images/2013/06/04/science/05recipehealth/05recipehealth-tmagSF.jpg,10 minutes
39,Salty-Sweet Salmon With Ginger and Spicy Cucumber Salad,Amanda Hesser,https://static01.nyt.com/images/2018/02/07/dining/07COOKING-SALMON-GINGER/07COOKING-SALMON-GINGER-mediumThreeByTwo252-v2.jpg,"3 hours 30 minutes, plus overnight soaking of ginger"
40,Oven-Steamed Salmon,Kim Severson,https://static01.nyt.com/images/2018/11/15/dining/oven-steamed-salmon/merlin_145792986_3ea4c3b9-784d-4bdf-9c0e-40d5ddf6ce0a-mediumThreeByTwo252.jpg,About 30 minutes
41,Salmon and Tomatoes in Foil,Mark Bittman,https://static01.nyt.com/images/2019/04/16/dining/mb-salmon-and-tomatoes-in-foil/merlin_151791966_abb05c69-bdb1-46ee-9bf3-92205387ec0c-mediumThreeByTwo252.jpg,30 minutes
42,Salmon With Yogurt-Curry Sauce,Mark Bittman,https://static01.nyt.com/images/2016/12/19/dining/19COOKING-SALMONCURRY1/19COOKING-SALMONCURRY1-mediumThreeByTwo252-v3.jpg,20 minutes
43,Fettuccine With Asparagus and Smoked Salmon,Florence Fabricant,https://static01.nyt.com/images/2014/05/12/dining/Fettuccine-With-Asparagus-And-Smoked-Salmon/Fettuccine-With-Asparagus-And-Smoked-Salmon-videoSixteenByNine310.jpg,35 minutes
44,Cumin-Roasted Salmon With Cilantro Sauce,Alison Roman,https://static01.nyt.com/images/2018/08/28/dining/roman-salmon-horizontal/roman-salmon-horizontal-mediumThreeByTwo252.jpg,30 minutes
45,Salmon With Smoked Salmon Butter,Florence Fabricant,https://static01.nyt.com/images/2016/04/13/dining/13PAIRING/13PAIRING-mediumThreeByTwo252.jpg,20 minutes
46,Salmon Roasted in Butter,Mark Bittman,https://static01.nyt.com/images/2015/08/14/dining/14ROASTEDSALMON/14ROASTEDSALMON-mediumThreeByTwo252.jpg,15 minutes
47,Salmon With Sesame and Herbs,Alison Roman,https://static01.nyt.com/images/2018/08/02/dining/salmon-sesame-herbs/salmon-sesame-herbs-mediumThreeByTwo252.jpg,"20 minutes, plus 20 minutes’ marinating"
48,"Provençal Salmon With Fennel, Rosemary and Orange Zest",Mark Bittman,https://static01.nyt.com/images/2018/11/21/dining/provencal-salmon/provencal-salmon-mediumThreeByTwo252.jpg,20 minutes
49,Salmon en Papillote (Salmon in Parchment),Florence Fabricant,https://static01.nyt.com/images/2015/12/29/dining/29salmon-19/29salmon-19-mediumThreeByTwo252.jpg,20 minutes
50,Salmon With Anchovy-Garlic Butter,Melissa Clark,https://static01.nyt.com/images/2017/09/03/insider/clark-oven-salmon/clark-oven-salmon-videoSixteenByNine310-v2.jpg,25 minutes
51,Sautéed Salmon With Leeks and Tomatoes,Pierre Franey,https://static01.nyt.com/images/2018/11/21/dining/salmon-with-leeks-and-tomato/salmon-with-leeks-and-tomato-mediumThreeByTwo252.jpg,20 minutes
52,Tea-Soaked Drunken Chicken With Cilantro-Scallion Oil,Kay Chun,https://static01.nyt.com/images/2018/08/22/dining/drunken-chicken/drunken-chicken-mediumThreeByTwo252-v2.jpg,35 minutes
53,Vietnamese-Style Chicken With Fragrant Rice Noodles,Kay Chun,https://static01.nyt.com/images/2018/08/22/dining/nuac-cham/nuac-cham-mediumThreeByTwo252-v2.jpg,30 minutes
54,Roast Chicken With Apricot Glaze,Priya Krishna,https://static01.nyt.com/images/2018/09/05/dining/05fanyrex2/05fanyrex2-mediumThreeByTwo252.jpg,About 2 hours
55,Oyakodon (Japanese Chicken and Egg Rice Bowl),Hannah Kirshner,https://static01.nyt.com/images/2018/07/18/dining/hannah-oyakodon-horizontal/merlin_141075420_edfc0f4f-ba70-4542-a881-085a9dc162b9-mediumThreeByTwo252.jpg,30 minutes
56,Slab-Bacon Tacos With Burned-Scallion Crema,Sam Sifton,https://static01.nyt.com/images/2017/10/26/dining/26cooking-tacos/26cooking-tacos-mediumThreeByTwo252.jpg,45 minutes
57,The Greenest Green Salad,Samin Nosrat,https://static01.nyt.com/images/2018/04/29/magazine/29mag-eat1/29mag-eat1-mediumThreeByTwo252.jpg,20 minutes
58,Wedge Salad,Sam Sifton,https://static01.nyt.com/images/2018/07/08/magazine/08mag-eat-image1/08mag-eat-image1-mediumThreeByTwo252-v2.png,20 minutes
59,Italian Sausage Sandwiches,Melissa Clark,https://static01.nyt.com/images/2017/01/17/dining/17COOKING-SAUSAGESANDWICH1/17COOKING-SAUSAGESANDWICH1-mediumThreeByTwo252.jpg,15 minutes
60,Garlicky Chicken Thighs With Scallion and Lime,Alison Roman,https://static01.nyt.com/images/2018/10/24/dining/ar-chicken-scallions-lime/merlin_145231437_0eb34433-46b7-49a8-85f9-b8c1260db84c-mediumThreeByTwo252.jpg,35 minutes
61,Grilled Chicken Parm,Sam Sifton,https://static01.nyt.com/images/2016/06/26/magazine/26eat/26mag-26eat-t_CA0-mediumThreeByTwo252.jpg,"1 hour, plus marinating"
62,Sauce Gribiche,Gabrielle Hamilton,https://static01.nyt.com/images/2017/07/16/magazine/16eat2/16eat2-mediumThreeByTwo252-v3.jpg,5 minutes
63,Pineapple Salsa,Sam Sifton,https://static01.nyt.com/images/2017/10/26/dining/26cooking-salsa/26cooking-salsa-mediumThreeByTwo252.jpg,10 minutes
64,Burned-Scallion Crema,Sam Sifton,https://static01.nyt.com/images/2017/10/26/dining/26cooking-crema/26cooking-crema-mediumThreeByTwo252.jpg,20 minutes
65,Platanos Maduros (Fried Yellow Plantains),Daisann Mclane,https://int.nyt.com/applications/cooking/65b272d/assets/28.png?1,5 minutes
66,Flaky Chicken Hand Pies,David Tanis,https://static01.nyt.com/images/2018/02/21/dining/21Kitchen1/merlin_133154091_58e321a2-c262-495f-a779-c70f54613778-mediumThreeByTwo252.jpg,2 hours
67,Coconut Rice,Tejal Rao,https://static01.nyt.com/images/2018/02/21/dining/00RICEGUIDE9/00RICEGUIDE9-mediumThreeByTwo252.jpg,35 minutes
68,Basic Stovetop Rice,Tejal Rao,https://static01.nyt.com/images/2018/02/21/dining/00RICEGUIDE8/00RICEGUIDE8-mediumThreeByTwo252.jpg,Up to 45 minutes
69,Robb Walsh's Chili Powder,The New York Times,https://static01.nyt.com/images/2018/03/06/dining/06CHILI-POWDER/06CHILI-mediumThreeByTwo252.jpg,20 minutes
70,Sesame Chicken With Cashews and Dates,Melissa Clark,https://static01.nyt.com/images/2018/03/15/dining/15COOKING-STIRFRYCHICK1/15COOKING-STIRFRYCHICK1-mediumThreeByTwo252.jpg,20 minutes
71,Oxtail Stew in Peanut Sauce (Kare-Kare),Ligaya Mishan,https://static01.nyt.com/images/2018/03/14/dining/14filipinorex2/14filipinorex2-mediumThreeByTwo252.jpg,About 3 3/4 hours
72,Toll House Chocolate Chip Cookies,The New York Times,https://static01.nyt.com/images/2019/02/24/dining/tollhouse-cookies/merlin_150672999_92f7eb0d-5f5c-4fe0-baa4-8935414e67d2-mediumThreeByTwo252.jpg,About 30 minutes
73,A Perfect Hard-Boiled Egg,Julia Moskin,https://static01.nyt.com/images/2015/12/29/dining/29EGG3/29EGG3-mediumThreeByTwo252-v2.jpg,20 minutes
74,Baked Ziti,Alison Roman,https://static01.nyt.com/images/2018/11/20/dining/ar-baked-ziti/ar-baked-ziti-mediumThreeByTwo252.jpg,1 1/2 hours
75,Lucali Salad,Sam Sifton,https://static01.nyt.com/images/2018/03/04/magazine/04mag-eat1/04mag-eat1-mediumThreeByTwo252.jpg,40 minutes
76,Herbed Garlic Bread,Samin Nosrat,https://static01.nyt.com/images/2017/10/01/magazine/01eat1/01eat1-mediumThreeByTwo252.jpg,1 hour
77,Pork Cutlets Parmigiana,Pierre Franey,https://static01.nyt.com/images/2017/01/20/dining/20COOKING-PORKCUTLETS-PARMIGIANA1/20COOKING-PORKCUTLETS-PARMIGIANA1-mediumThreeByTwo252.jpg,About 1 hour
78,Pan-Roasted Salmon With Jalapeño,Sam Sifton,https://static01.nyt.com/images/2017/07/09/magazine/09eat/09eat-mediumThreeByTwo252-v3.jpg,15 minutes
79,Chili Lobster With Texas Toast,Sam Sifton,https://static01.nyt.com/images/2014/04/02/dining/Chili-Lobster-With-Texas-Toast/Chili-Lobster-With-Texas-Toast-videoSixteenByNine310.jpg,2 hours 30 minutes
80,Crab Cakes Baltimore-Style,Pierre Franey,https://static01.nyt.com/images/2016/05/03/dining/03COOKING-CRABCAKES2/03COOKING-CRABCAKES2-mediumThreeByTwo252.jpg,15 minutes
81,Chicken Marengo ,Pierre Franey,https://static01.nyt.com/images/2017/07/19/dining/19COOKING-CHICKEN2/19COOKING-CHICKEN2-mediumThreeByTwo252.jpg,30 minutes
82,Classic Cheesecake,Alison Roman,https://static01.nyt.com/images/2017/12/20/dining/20COOKING-NYCHEESECAKE2/20COOKING-NYCHEESECAKE2-mediumThreeByTwo252.jpg,About 2 hours
83,Braised Chinese-Style Fish,Florence Fabricant,https://int.nyt.com/applications/cooking/304d802/assets/28.png?1,30 minutes
84,Risotto With Sausage and Parsley,Sam Sifton,https://static01.nyt.com/images/2018/01/21/magazine/21mag-eat1/21mag-21eat-t_CA0-mediumThreeByTwo252.jpg,1 hour
85,Cast-Iron Sourdough Pancakes,Tejal Rao,https://static01.nyt.com/images/2017/03/19/magazine/19eat1/19eat1-mediumThreeByTwo252.jpg,"30 minutes, plus overnight fermentation"
86,Best Black Bean Soup,Julia Moskin,https://static01.nyt.com/images/2017/02/28/dining/1702anSoupNYT191/1702anSoupNYT191-mediumThreeByTwo252.jpg,About 2 hours
87,Baked Chicken Tenders,Alison Roman,https://static01.nyt.com/images/2017/02/28/dining/28COOKING-CHICKENTENDERS2/28COOKING-CHICKENTENDERS2-mediumThreeByTwo252.jpg,45 minutes
88,"Blueberry, Almond and Lemon Cake",Yotam Ottolenghi,https://static01.nyt.com/images/2019/08/07/dining/yo-blueberry-almond-lemon-cake/merlin_158598102_10e85156-2033-41b1-9374-46521e2f5eec-mediumThreeByTwo252.jpg,"1 1/2 hours, plus cooling"
89,Sheet-Pan Spicy Roasted Broccoli Pasta,Melissa Clark,https://static01.nyt.com/images/2017/02/22/dining/22APPE1/22APPE1-mediumThreeByTwo252.jpg,30 minutes
90,Jamie Oliver’s Chicken in Milk,,https://static01.nyt.com/images/2017/04/23/magazine/23eat/23eat-mediumThreeByTwo252-v2.jpg,
91,Big Salad With Grains,Julia Moskin,https://static01.nyt.com/images/2017/05/09/dining/09SALADGUIDE9/09SALADGUIDE9-mediumThreeByTwo252.jpg,10 minutes
92,Baked Rice With Chicken and Mushrooms,David Tanis,https://static01.nyt.com/images/2017/01/25/dining/25KITCHEN1/25KITCHEN1-mediumThreeByTwo252.jpg,1 hour 20 minutes
93,Giant Crinkled Chocolate Chip Cookies,Julia Moskin,https://static01.nyt.com/images/2017/10/04/dining/04Cookie/04Cookie-mediumThreeByTwo252.jpg,"30 minutes, plus chilling"
94,"Pan-Roasted Cauliflower With Garlic, Parsley and Rosemary",David Tanis,https://static01.nyt.com/images/2017/01/18/dining/18KITCHEN-1/18KITCHEN-1-mediumThreeByTwo252.jpg,30 minutes
95,Slow-Cooker Butter Chicken,Jennifer Steinhauer,https://static01.nyt.com/images/2017/07/12/multimedia/12crowdrex-copy/12crowdrex-mediumThreeByTwo252.jpg,About 5 hours
96,Lemon-Spice Visiting Cake,Dorie Greenspan,https://static01.nyt.com/images/2017/10/08/magazine/08ondessert/08ondessert-mediumThreeByTwo252-v2.jpg,1 hour 25 minutes
97,Broiled Fish With Lemon Curry Butter,Melissa Clark,https://static01.nyt.com/images/2017/03/25/dining/15APPE3/15APPE3-mediumThreeByTwo252.jpg,10 minutes
98,Pressure Cooker Spicy Pork Shoulder,Melissa Clark,https://static01.nyt.com/images/2017/02/01/dining/01APPE1-1485571587076/01APPE1-1485571587076-mediumThreeByTwo252.jpg,3 hours
99,Herb and Radish Salad With Feta and Walnuts,Samin Nosrat,https://static01.nyt.com/images/2017/03/15/dining/15NOWRUZ5/15NOWRUZ5-mediumThreeByTwo252.jpg,20 minutes
100,World’s Best Chocolate Cake,Yotam Ottolenghi,https://static01.nyt.com/images/2017/09/20/dining/20BAKE6/20BAKE6-mediumThreeByTwo252.jpg,"1 1/2 hours, plus cooling"
101,Sheet-Pan Tarragon Chicken With Sherry Vinegar Onions,Melissa Clark,https://static01.nyt.com/images/2017/05/03/dining/03APPE1/03APPE1-mediumThreeByTwo252.jpg,"1 hour, plus 6 hours' marinating"
102,Grilled Soy-Basted Chicken Thighs With Spicy Cashews,Sam Sifton,https://static01.nyt.com/images/2017/06/14/dining/24GRILLS4/14GRILLS4-mediumThreeByTwo252.jpg,1 hour
103,Eggs Benedict,Alison Roman,https://static01.nyt.com/images/2018/11/21/dining/ar-eggs-benedict/ar-eggs-benedict-mediumThreeByTwo252.jpg,35 minutes
104,Kerala Roadside Chicken,Kim Severson,https://static01.nyt.com/images/2017/06/07/dining/07INDIAjp7/07INDIAjp7-mediumThreeByTwo252.jpg,"45 minutes, plus 1 hour's marinating"
105,Baked Brie,Melissa Clark,https://static01.nyt.com/images/2018/05/06/dining/25COOKING-BAKEDBRIE1/25COOKING-BAKEDBRIE1-mediumThreeByTwo252.jpg,1 hour
106,Mushrooms on Toast,David Tanis,https://static01.nyt.com/images/2017/04/12/dining/12KITCHEN1/12KITCHEN1-mediumThreeByTwo252.jpg,20 minutes
107,Kuku Paka (Chicken With Coconut),Tejal Rao,https://static01.nyt.com/images/2017/06/21/dining/21KENYA1/21KENYA1-mediumThreeByTwo252.jpg,"1 hour, plus marinating"
108,Lemony Pasta With Chickpeas and Parsley,Melissa Clark,https://static01.nyt.com/images/2017/03/08/dining/08APPE4/08APPE4-mediumThreeByTwo252.jpg,30 minutes
109,Pork Gyros,Sam Sifton,https://static01.nyt.com/images/2017/06/11/magazine/11eat/11mag-11eat-t_CA0-mediumThreeByTwo252.jpg,"1 hour, plus marinating"
110,Grilled Flounder,Sam Sifton,https://static01.nyt.com/images/2017/06/14/dining/24GRILLS7/14GRILLS7-mediumThreeByTwo252.jpg,20 minutes
111,Middle-School Tacos,Sam Sifton,https://static01.nyt.com/images/2017/05/14/magazine/14eat1/14eat1-mediumThreeByTwo252-v3.jpg,30 minutes.
112,Basic Vinaigrette,Julia Moskin,https://static01.nyt.com/images/2017/05/09/dining/09SALADGUIDE12/09SALADGUIDE12-mediumThreeByTwo252.jpg,5 minutes
113,Swordfish Piccata,Gabrielle Hamilton,https://static01.nyt.com/images/2017/02/26/magazine/26eat/26mag-26eat-t_CA0-mediumThreeByTwo252.jpg,15 minutes
114,Utica Greens,Jim Shahin,https://static01.nyt.com/images/2017/03/01/dining/01UTICA2/01UTICA2-mediumThreeByTwo252.jpg,35 minutes
115,Kalpudding (Meatloaf With Caramelized Cabbage),Sam Sifton,https://static01.nyt.com/images/2017/03/05/magazine/05eat/05mag-05eat-t_CA0-mediumThreeByTwo252.jpg,90 minutes
116,Irish Tacos,Sam Sifton,https://static01.nyt.com/images/2017/03/08/dining/08CORNEDBEEF4/08CORNEDBEEF4-mediumThreeByTwo252.jpg,30 minutes
117,Homemade Corned Beef,Sam Sifton,https://static01.nyt.com/images/2017/03/08/dining/08CORNEDBEEF2/08CORNEDBEEF2-mediumThreeByTwo252.jpg,"3 hours, plus 5 days' brining"
118,Sweet Potato Confit With Chorizo and Crème Fraîche,Kim Severson,https://static01.nyt.com/images/2017/03/15/dining/15CHEF2/15CHEF2-mediumThreeByTwo252.jpg,1 hour 20 minutes
119,Jim Harrison’s Caribbean Stew,Sam Sifton,https://static01.nyt.com/images/2017/04/02/magazine/02eat/02eat-mediumThreeByTwo252.jpg,2 hours
120,Chicken Confit With Roasted Potatoes and Parsley Salad,Sam Sifton,https://static01.nyt.com/images/2017/02/12/magazine/12eat/12eat-mediumThreeByTwo252.jpg,"3 hours, largely unattended"
121,Red Berry Soufflé,Melissa Clark,https://static01.nyt.com/images/2017/01/13/dining/13SOUFLE-19/13SOUFLE-19-mediumThreeByTwo252.jpg,65 minutes
122,Gruyère and Chive Soufflé,Melissa Clark,https://static01.nyt.com/images/2017/01/13/dining/13SOUFLE-1/13SOUFLE-1-mediumThreeByTwo252-v2.jpg,50 minutes
123,Bittersweet Chocolate Soufflé,Melissa Clark,https://static01.nyt.com/images/2017/01/13/dining/13SOUFLE-3/13SOUFLE-3-mediumThreeByTwo252.jpg,45 minutes
124,Cassoulet,Melissa Clark,https://static01.nyt.com/images/2017/01/13/dining/COOKING-CASSOULET2/COOKING-CASSOULET2-mediumThreeByTwo252.jpg,"5 1/2 hours, plus marinating"
125,Lamb Tagine,Melissa Clark,https://static01.nyt.com/images/2017/01/13/dining/13COOKING-LAMBTAGINE2/13COOKING-LAMBTAGINE2-mediumThreeByTwo252-v2.jpg,4 hours
126,Beef Bourguignon,Melissa Clark,https://static01.nyt.com/images/2017/01/13/dining/13COOKING-BEEFBOURGUIGNON/13COOKING-BEEFBOURGUIGNON-mediumThreeByTwo252.jpg,"2 1/2 hours, plus marinating"
127,Coq au Vin,Melissa Clark,https://static01.nyt.com/images/2017/01/13/dining/DINING-COQAUVIN-1/DINING-COQAUVIN-1-mediumThreeByTwo252.jpg,"2 1/2 hours, plus marinating"
128,Pommes Anna,Melissa Clark,https://static01.nyt.com/images/2017/01/15/dining/DINING-POMMES-ANNA2/DINING-POMMES-ANNA2-mediumThreeByTwo252.jpg,1 1/2 hours
129,Horseradish Crème Fraîche Sauce,Melissa Clark,https://static01.nyt.com/images/2017/01/15/dining/DINING-SAUCESBUTTER2/DINING-SAUCESBUTTER2-mediumThreeByTwo252-v2.jpg,5 minutes
130,Herbed Compound Butter,Melissa Clark,https://static01.nyt.com/images/2017/01/15/dining/DINING-SAUCESBUTTER3/DINING-SAUCESBUTTER3-mediumThreeByTwo252.jpg,10 minutes
131,Béarnaise Sauce,Melissa Clark,https://static01.nyt.com/images/2017/01/15/dining/DINING-SAUCESBUTTER4/DINING-SAUCESBUTTER4-mediumThreeByTwo252.jpg,20 minutes
132,Pan-Seared Steak With Red Wine Sauce,Melissa Clark,https://static01.nyt.com/images/2017/01/13/dining/13STEAK-1/13STEAK-1-mediumThreeByTwo252.jpg,35 minutes
133,Ratatouille,Melissa Clark,https://static01.nyt.com/images/2017/01/15/dining/DINING-RATATOUILLE1/RATATOUILLE1-mediumThreeByTwo252.jpg,3 hours
134,Clarified Butter,Melissa Clark,https://static01.nyt.com/images/2017/01/14/dining/13COOKING-SOLE-MEUNIERE9/14CLARIFIED_BUTTER-mediumThreeByTwo252.jpg,10 minutes
135,Sole Meunière,Melissa Clark,https://static01.nyt.com/images/2017/01/13/dining/13COOKING-SOLE-MEUNIERE2/13COOKING-SOLE-MEUNIERE2-mediumThreeByTwo252.jpg,20 minutes
136,Tarte Flambée,Melissa Clark,https://static01.nyt.com/images/2017/01/15/dining/DINING-TARTEFLAMBE1/DINING-TARTEFAMBE1-mediumThreeByTwo252.jpg,40 minutes
137,Pissaladière,Melissa Clark,https://static01.nyt.com/images/2017/01/15/dining/DINING-ONIONTARTS-1/DINING-ONIONTARTS-1-mediumThreeByTwo252.jpg,2 1/2 hours
138,Onion Quiche,Melissa Clark,https://static01.nyt.com/images/2017/01/15/dining/DINING-QUICHE2/DINING-QUICHE2-mediumThreeByTwo252.jpg,2 1/2 hours
